condition1,condition2,model,age,sex,risk
CKD,HEART,hospitalisationrisk_2cond,15,male,0.10715
CKD,HEART,hospitalisationrisk_2cond,16,male,0.10688
CKD,HEART,hospitalisationrisk_2cond,17,male,0.11176
CKD,HEART,hospitalisationrisk_2cond,18,male,0.11357
CKD,HEART,hospitalisationrisk_2cond,19,male,0.13143
CKD,HEART,hospitalisationrisk_2cond,20,male,0.15417
CKD,HEART,hospitalisationrisk_2cond,21,male,0.17386
CKD,HEART,hospitalisationrisk_2cond,22,male,0.18646
CKD,HEART,hospitalisationrisk_2cond,23,male,0.20399
CKD,HEART,hospitalisationrisk_2cond,24,male,0.24343
CKD,HEART,hospitalisationrisk_2cond,25,male,0.2802
CKD,HEART,hospitalisationrisk_2cond,26,male,0.32188
CKD,HEART,hospitalisationrisk_2cond,27,male,0.36516
CKD,HEART,hospitalisationrisk_2cond,28,male,0.39888
CKD,HEART,hospitalisationrisk_2cond,29,male,0.40072
CKD,HEART,hospitalisationrisk_2cond,30,male,0.39854
CKD,HEART,hospitalisationrisk_2cond,31,male,0.39129
CKD,HEART,hospitalisationrisk_2cond,32,male,0.38348
CKD,HEART,hospitalisationrisk_2cond,33,male,0.3776
CKD,HEART,hospitalisationrisk_2cond,34,male,0.38001
CKD,HEART,hospitalisationrisk_2cond,35,male,0.38184
CKD,HEART,hospitalisationrisk_2cond,36,male,0.38782
CKD,HEART,hospitalisationrisk_2cond,37,male,0.39663
CKD,HEART,hospitalisationrisk_2cond,38,male,0.41165
CKD,HEART,hospitalisationrisk_2cond,39,male,0.42205
CKD,HEART,hospitalisationrisk_2cond,40,male,0.43449
CKD,HEART,hospitalisationrisk_2cond,41,male,0.44254
CKD,HEART,hospitalisationrisk_2cond,42,male,0.45053
CKD,HEART,hospitalisationrisk_2cond,43,male,0.45342
CKD,HEART,hospitalisationrisk_2cond,44,male,0.45381
CKD,HEART,hospitalisationrisk_2cond,45,male,0.45432
CKD,HEART,hospitalisationrisk_2cond,46,male,0.45589
CKD,HEART,hospitalisationrisk_2cond,47,male,0.45537
CKD,HEART,hospitalisationrisk_2cond,48,male,0.45464
CKD,HEART,hospitalisationrisk_2cond,49,male,0.45352
CKD,HEART,hospitalisationrisk_2cond,50,male,0.45384
CKD,HEART,hospitalisationrisk_2cond,51,male,0.45545
CKD,HEART,hospitalisationrisk_2cond,52,male,0.45693
CKD,HEART,hospitalisationrisk_2cond,53,male,0.45982
CKD,HEART,hospitalisationrisk_2cond,54,male,0.46534
CKD,HEART,hospitalisationrisk_2cond,55,male,0.469
CKD,HEART,hospitalisationrisk_2cond,56,male,0.47189
CKD,HEART,hospitalisationrisk_2cond,57,male,0.47386
CKD,HEART,hospitalisationrisk_2cond,58,male,0.47921
CKD,HEART,hospitalisationrisk_2cond,59,male,0.48272
CKD,HEART,hospitalisationrisk_2cond,60,male,0.48578
CKD,HEART,hospitalisationrisk_2cond,61,male,0.48795
CKD,HEART,hospitalisationrisk_2cond,62,male,0.49154
CKD,HEART,hospitalisationrisk_2cond,63,male,0.48877
CKD,HEART,hospitalisationrisk_2cond,64,male,0.49145
