conditionA,conditionB,conditionLabel,model,age,sex,risk
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,15,male,0.060613
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,16,male,0.060255
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,17,male,0.062886
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,18,male,0.063462
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,19,male,0.073724
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,20,male,0.085328
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,21,male,0.095266
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,22,male,0.10044
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,23,male,0.10505
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,24,male,0.11819
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,25,male,0.12903
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,26,male,0.14331
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,27,male,0.15867
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,28,male,0.17203
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,29,male,0.17194
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,30,male,0.17172
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,31,male,0.16871
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,32,male,0.16595
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,33,male,0.16435
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,34,male,0.16768
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,35,male,0.17061
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,36,male,0.17544
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,37,male,0.18202
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,38,male,0.19239
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,39,male,0.19984
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,40,male,0.20858
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,41,male,0.21607
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,42,male,0.22735
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,43,male,0.23871
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,44,male,0.24808
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,45,male,0.25759
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,46,male,0.26758
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,47,male,0.27233
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,48,male,0.27375
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,49,male,0.27649
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,50,male,0.28276
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,51,male,0.28884
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,52,male,0.29685
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,53,male,0.30744
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,54,male,0.32321
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,55,male,0.33511
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,56,male,0.34616
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,57,male,0.3555
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,58,male,0.36696
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,59,male,0.3717
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,60,male,0.37603
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,61,male,0.38185
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,62,male,0.38776
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,63,male,0.38934
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,64,male,0.39865
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,65,male,0.40796
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,66,male,0.41658
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,67,male,0.42642
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,68,male,0.43514
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,69,male,0.43274
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,70,male,0.43118
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,71,male,0.42833
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,72,male,0.42948
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,73,male,0.4324
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,74,male,0.43989
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,75,male,0.44962
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,76,male,0.45935
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,77,male,0.46281
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,78,male,0.46502
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,79,male,0.466
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,80,male,0.464
