condition1,condition2,model,age,sex,risk
HYL,HEART,hospitalisationrisk_2cond,15,male,0.13963
HYL,HEART,hospitalisationrisk_2cond,16,male,0.14084
HYL,HEART,hospitalisationrisk_2cond,17,male,0.14774
HYL,HEART,hospitalisationrisk_2cond,18,male,0.15255
HYL,HEART,hospitalisationrisk_2cond,19,male,0.17855
HYL,HEART,hospitalisationrisk_2cond,20,male,0.20716
HYL,HEART,hospitalisationrisk_2cond,21,male,0.23081
HYL,HEART,hospitalisationrisk_2cond,22,male,0.24508
HYL,HEART,hospitalisationrisk_2cond,23,male,0.25945
HYL,HEART,hospitalisationrisk_2cond,24,male,0.28688
HYL,HEART,hospitalisationrisk_2cond,25,male,0.31179
HYL,HEART,hospitalisationrisk_2cond,26,male,0.34271
HYL,HEART,hospitalisationrisk_2cond,27,male,0.37554
HYL,HEART,hospitalisationrisk_2cond,28,male,0.40176
HYL,HEART,hospitalisationrisk_2cond,29,male,0.40364
HYL,HEART,hospitalisationrisk_2cond,30,male,0.40337
HYL,HEART,hospitalisationrisk_2cond,31,male,0.40287
HYL,HEART,hospitalisationrisk_2cond,32,male,0.3987
HYL,HEART,hospitalisationrisk_2cond,33,male,0.39643
HYL,HEART,hospitalisationrisk_2cond,34,male,0.40704
HYL,HEART,hospitalisationrisk_2cond,35,male,0.41277
HYL,HEART,hospitalisationrisk_2cond,36,male,0.41965
HYL,HEART,hospitalisationrisk_2cond,37,male,0.43335
HYL,HEART,hospitalisationrisk_2cond,38,male,0.453
HYL,HEART,hospitalisationrisk_2cond,39,male,0.4627
HYL,HEART,hospitalisationrisk_2cond,40,male,0.48023
HYL,HEART,hospitalisationrisk_2cond,41,male,0.49309
HYL,HEART,hospitalisationrisk_2cond,42,male,0.51248
HYL,HEART,hospitalisationrisk_2cond,43,male,0.529
HYL,HEART,hospitalisationrisk_2cond,44,male,0.54305
HYL,HEART,hospitalisationrisk_2cond,45,male,0.55835
HYL,HEART,hospitalisationrisk_2cond,46,male,0.57606
HYL,HEART,hospitalisationrisk_2cond,47,male,0.58301
HYL,HEART,hospitalisationrisk_2cond,48,male,0.5878
HYL,HEART,hospitalisationrisk_2cond,49,male,0.59366
HYL,HEART,hospitalisationrisk_2cond,50,male,0.60261
HYL,HEART,hospitalisationrisk_2cond,51,male,0.60737
HYL,HEART,hospitalisationrisk_2cond,52,male,0.61398
HYL,HEART,hospitalisationrisk_2cond,53,male,0.62334
HYL,HEART,hospitalisationrisk_2cond,54,male,0.63963
HYL,HEART,hospitalisationrisk_2cond,55,male,0.64208
HYL,HEART,hospitalisationrisk_2cond,56,male,0.64416
HYL,HEART,hospitalisationrisk_2cond,57,male,0.64888
HYL,HEART,hospitalisationrisk_2cond,58,male,0.65492
HYL,HEART,hospitalisationrisk_2cond,59,male,0.65218
HYL,HEART,hospitalisationrisk_2cond,60,male,0.65441
HYL,HEART,hospitalisationrisk_2cond,61,male,0.66108
HYL,HEART,hospitalisationrisk_2cond,62,male,0.66567
HYL,HEART,hospitalisationrisk_2cond,63,male,0.66654
HYL,HEART,hospitalisationrisk_2cond,64,male,0.67424
HYL,HEART,hospitalisationrisk_2cond,65,male,0.68426
HYL,HEART,hospitalisationrisk_2cond,66,male,0.69188
HYL,HEART,hospitalisationrisk_2cond,67,male,0.70053
HYL,HEART,hospitalisationrisk_2cond,68,male,0.7082
HYL,HEART,hospitalisationrisk_2cond,69,male,0.70614
HYL,HEART,hospitalisationrisk_2cond,70,male,0.7048
HYL,HEART,hospitalisationrisk_2cond,71,male,0.70237
HYL,HEART,hospitalisationrisk_2cond,72,male,0.70331
HYL,HEART,hospitalisationrisk_2cond,73,male,0.70571
HYL,HEART,hospitalisationrisk_2cond,74,male,0.71181
HYL,HEART,hospitalisationrisk_2cond,75,male,0.71879
HYL,HEART,hospitalisationrisk_2cond,76,male,0.72583
HYL,HEART,hospitalisationrisk_2cond,77,male,0.72762
HYL,HEART,hospitalisationrisk_2cond,78,male,0.72866
HYL,HEART,hospitalisationrisk_2cond,79,male,0.72886
HYL,HEART,hospitalisationrisk_2cond,80,male,0.72754
HYL,HEART,hospitalisationrisk_2cond,81,male,0.72688
HYL,HEART,hospitalisationrisk_2cond,82,male,0.72703
HYL,HEART,hospitalisationrisk_2cond,83,male,0.72626
HYL,HEART,hospitalisationrisk_2cond,84,male,0.72422
HYL,HEART,hospitalisationrisk_2cond,85,male,0.72344
HYL,HEART,hospitalisationrisk_2cond,86,male,0.72333
HYL,HEART,hospitalisationrisk_2cond,87,male,0.72232
HYL,HEART,hospitalisationrisk_2cond,88,male,0.72204
HYL,HEART,hospitalisationrisk_hyl,15,male,0.012022
HYL,HEART,hospitalisationrisk_hyl,16,male,0.012519
HYL,HEART,hospitalisationrisk_hyl,17,male,0.013785
HYL,HEART,hospitalisationrisk_hyl,18,male,0.015134
HYL,HEART,hospitalisationrisk_hyl,19,male,0.01798
HYL,HEART,hospitalisationrisk_hyl,20,male,0.021591
HYL,HEART,hospitalisationrisk_hyl,21,male,0.024503
HYL,HEART,hospitalisationrisk_hyl,22,male,0.026203
HYL,HEART,hospitalisationrisk_hyl,23,male,0.027707
HYL,HEART,hospitalisationrisk_hyl,24,male,0.034573
HYL,HEART,hospitalisationrisk_hyl,25,male,0.042077
HYL,HEART,hospitalisationrisk_hyl,26,male,0.051319
HYL,HEART,hospitalisationrisk_hyl,27,male,0.060988
HYL,HEART,hospitalisationrisk_hyl,28,male,0.069363
HYL,HEART,hospitalisationrisk_hyl,29,male,0.072026
HYL,HEART,hospitalisationrisk_hyl,30,male,0.073026
HYL,HEART,hospitalisationrisk_hyl,31,male,0.075851
HYL,HEART,hospitalisationrisk_hyl,32,male,0.076887
HYL,HEART,hospitalisationrisk_hyl,33,male,0.078725
HYL,HEART,hospitalisationrisk_hyl,34,male,0.089527
HYL,HEART,hospitalisationrisk_hyl,35,male,0.098724
HYL,HEART,hospitalisationrisk_hyl,36,male,0.10514
HYL,HEART,hospitalisationrisk_hyl,37,male,0.11445
HYL,HEART,hospitalisationrisk_hyl,38,male,0.12688
HYL,HEART,hospitalisationrisk_hyl,39,male,0.13167
HYL,HEART,hospitalisationrisk_hyl,40,male,0.13984
HYL,HEART,hospitalisationrisk_hyl,41,male,0.14812
HYL,HEART,hospitalisationrisk_hyl,42,male,0.16173
HYL,HEART,hospitalisationrisk_hyl,43,male,0.17504
HYL,HEART,hospitalisationrisk_hyl,44,male,0.1878
HYL,HEART,hospitalisationrisk_hyl,45,male,0.20332
HYL,HEART,hospitalisationrisk_hyl,46,male,0.22268
HYL,HEART,hospitalisationrisk_hyl,47,male,0.23354
HYL,HEART,hospitalisationrisk_hyl,48,male,0.24159
HYL,HEART,hospitalisationrisk_hyl,49,male,0.25042
HYL,HEART,hospitalisationrisk_hyl,50,male,0.26124
HYL,HEART,hospitalisationrisk_hyl,51,male,0.26726
HYL,HEART,hospitalisationrisk_hyl,52,male,0.27497
HYL,HEART,hospitalisationrisk_hyl,53,male,0.28455
HYL,HEART,hospitalisationrisk_hyl,54,male,0.30507
HYL,HEART,hospitalisationrisk_hyl,55,male,0.31264
HYL,HEART,hospitalisationrisk_hyl,56,male,0.31889
HYL,HEART,hospitalisationrisk_hyl,57,male,0.33089
HYL,HEART,hospitalisationrisk_hyl,58,male,0.34703
HYL,HEART,hospitalisationrisk_hyl,59,male,0.35062
HYL,HEART,hospitalisationrisk_hyl,60,male,0.35848
HYL,HEART,hospitalisationrisk_hyl,61,male,0.37221
HYL,HEART,hospitalisationrisk_hyl,62,male,0.3804
HYL,HEART,hospitalisationrisk_hyl,63,male,0.38375
HYL,HEART,hospitalisationrisk_hyl,64,male,0.40652
HYL,HEART,hospitalisationrisk_hyl,65,male,0.43144
HYL,HEART,hospitalisationrisk_hyl,66,male,0.45194
HYL,HEART,hospitalisationrisk_hyl,67,male,0.47738
HYL,HEART,hospitalisationrisk_hyl,68,male,0.50352
HYL,HEART,hospitalisationrisk_hyl,69,male,0.50676
HYL,HEART,hospitalisationrisk_hyl,70,male,0.51086
HYL,HEART,hospitalisationrisk_hyl,71,male,0.51424
HYL,HEART,hospitalisationrisk_hyl,72,male,0.52123
HYL,HEART,hospitalisationrisk_hyl,73,male,0.52759
HYL,HEART,hospitalisationrisk_hyl,74,male,0.54083
HYL,HEART,hospitalisationrisk_hyl,75,male,0.5566
HYL,HEART,hospitalisationrisk_hyl,76,male,0.57385
HYL,HEART,hospitalisationrisk_hyl,77,male,0.58151
HYL,HEART,hospitalisationrisk_hyl,78,male,0.5887
HYL,HEART,hospitalisationrisk_hyl,79,male,0.59241
HYL,HEART,hospitalisationrisk_hyl,80,male,0.59285
HYL,HEART,hospitalisationrisk_hyl,81,male,0.59308
HYL,HEART,hospitalisationrisk_hyl,82,male,0.59429
HYL,HEART,hospitalisationrisk_hyl,83,male,0.59388
HYL,HEART,hospitalisationrisk_hyl,84,male,0.59278
HYL,HEART,hospitalisationrisk_hyl,85,male,0.5932
HYL,HEART,hospitalisationrisk_hyl,86,male,0.59407
HYL,HEART,hospitalisationrisk_hyl,87,male,0.59364
HYL,HEART,hospitalisationrisk_hyl,88,male,0.59435
HYL,DEMENTIA,hospitalisationrisk_2cond,15,male,0.010422
HYL,DEMENTIA,hospitalisationrisk_2cond,16,male,0.010854
HYL,DEMENTIA,hospitalisationrisk_2cond,17,male,0.011954
HYL,DEMENTIA,hospitalisationrisk_2cond,18,male,0.013127
HYL,DEMENTIA,hospitalisationrisk_2cond,19,male,0.015602
HYL,DEMENTIA,hospitalisationrisk_2cond,20,male,0.018743
HYL,DEMENTIA,hospitalisationrisk_2cond,21,male,0.02135
HYL,DEMENTIA,hospitalisationrisk_2cond,22,male,0.022901
HYL,DEMENTIA,hospitalisationrisk_2cond,23,male,0.024288
HYL,DEMENTIA,hospitalisationrisk_2cond,24,male,0.029453
HYL,DEMENTIA,hospitalisationrisk_2cond,25,male,0.035092
HYL,DEMENTIA,hospitalisationrisk_2cond,26,male,0.042069
HYL,DEMENTIA,hospitalisationrisk_2cond,27,male,0.049849
HYL,DEMENTIA,hospitalisationrisk_2cond,28,male,0.056519
HYL,DEMENTIA,hospitalisationrisk_2cond,29,male,0.059102
HYL,DEMENTIA,hospitalisationrisk_2cond,30,male,0.060326
HYL,DEMENTIA,hospitalisationrisk_2cond,31,male,0.062242
HYL,DEMENTIA,hospitalisationrisk_2cond,32,male,0.062313
HYL,DEMENTIA,hospitalisationrisk_2cond,33,male,0.06306
HYL,DEMENTIA,hospitalisationrisk_2cond,34,male,0.07041
HYL,DEMENTIA,hospitalisationrisk_2cond,35,male,0.076043
HYL,DEMENTIA,hospitalisationrisk_2cond,36,male,0.080171
HYL,DEMENTIA,hospitalisationrisk_2cond,37,male,0.086555
HYL,DEMENTIA,hospitalisationrisk_2cond,38,male,0.096833
HYL,DEMENTIA,hospitalisationrisk_2cond,39,male,0.10161
HYL,DEMENTIA,hospitalisationrisk_2cond,40,male,0.1087
HYL,DEMENTIA,hospitalisationrisk_2cond,41,male,0.11455
HYL,DEMENTIA,hospitalisationrisk_2cond,42,male,0.12371
HYL,DEMENTIA,hospitalisationrisk_2cond,43,male,0.13114
HYL,DEMENTIA,hospitalisationrisk_2cond,44,male,0.13727
HYL,DEMENTIA,hospitalisationrisk_2cond,45,male,0.14465
HYL,DEMENTIA,hospitalisationrisk_2cond,46,male,0.15605
HYL,DEMENTIA,hospitalisationrisk_2cond,47,male,0.16121
HYL,DEMENTIA,hospitalisationrisk_2cond,48,male,0.16421
HYL,DEMENTIA,hospitalisationrisk_2cond,49,male,0.16829
HYL,DEMENTIA,hospitalisationrisk_2cond,50,male,0.17547
HYL,DEMENTIA,hospitalisationrisk_2cond,51,male,0.17922
HYL,DEMENTIA,hospitalisationrisk_2cond,52,male,0.18474
HYL,DEMENTIA,hospitalisationrisk_2cond,53,male,0.19082
HYL,DEMENTIA,hospitalisationrisk_2cond,54,male,0.2059
HYL,DEMENTIA,hospitalisationrisk_2cond,55,male,0.21095
HYL,DEMENTIA,hospitalisationrisk_2cond,56,male,0.21508
HYL,DEMENTIA,hospitalisationrisk_2cond,57,male,0.22321
HYL,DEMENTIA,hospitalisationrisk_2cond,58,male,0.23458
HYL,DEMENTIA,hospitalisationrisk_2cond,59,male,0.23602
HYL,DEMENTIA,hospitalisationrisk_2cond,60,male,0.24084
HYL,DEMENTIA,hospitalisationrisk_2cond,61,male,0.24925
HYL,DEMENTIA,hospitalisationrisk_2cond,62,male,0.25383
HYL,DEMENTIA,hospitalisationrisk_2cond,63,male,0.25481
HYL,DEMENTIA,hospitalisationrisk_2cond,64,male,0.27111
HYL,DEMENTIA,hospitalisationrisk_2cond,65,male,0.28875
HYL,DEMENTIA,hospitalisationrisk_2cond,66,male,0.30383
HYL,DEMENTIA,hospitalisationrisk_2cond,67,male,0.32304
HYL,DEMENTIA,hospitalisationrisk_2cond,68,male,0.34325
HYL,DEMENTIA,hospitalisationrisk_2cond,69,male,0.34675
HYL,DEMENTIA,hospitalisationrisk_2cond,70,male,0.35028
HYL,DEMENTIA,hospitalisationrisk_2cond,71,male,0.35278
HYL,DEMENTIA,hospitalisationrisk_2cond,72,male,0.35873
HYL,DEMENTIA,hospitalisationrisk_2cond,73,male,0.36463
HYL,DEMENTIA,hospitalisationrisk_2cond,74,male,0.37461
HYL,DEMENTIA,hospitalisationrisk_2cond,75,male,0.38798
HYL,DEMENTIA,hospitalisationrisk_2cond,76,male,0.40297
HYL,DEMENTIA,hospitalisationrisk_2cond,77,male,0.40936
