county,state,fips,date,retail,grocery,parks,transit,workplaces,residential,voteshare,pop
Autauga County,Alabama,1001,2021-01-07,-17,-2,,,-24,12,0.7276658791494814,55869
Baldwin County,Alabama,1003,2021-01-07,-14,-5,-16,-17,-26,9,0.765457123352413,223234
Barbour County,Alabama,1005,2021-01-07,-12,,,,-20,,0.5209666634826631,24686
Bibb County,Alabama,1007,2021-01-07,,,,,-21,,0.7640322031976414,22394
Blount County,Alabama,1009,2021-01-07,-18,-5,,,-28,13,0.8933484445833985,57826
Bullock County,Alabama,1011,2021-01-07,,,,,-23,,0.24203821656050956,10101
Butler County,Alabama,1013,2021-01-07,,-15,,,-19,,0.5612688960146587,19448
Calhoun County,Alabama,1015,2021-01-07,-19,-12,,,-22,9,0.6866329600534848,113605
Chambers County,Alabama,1017,2021-01-07,-4,-7,,,-22,10,0.5642446043165468,33254
Cherokee County,Alabama,1019,2021-01-07,,1,,,-12,8,0.8341563402590143,26196
Chilton County,Alabama,1021,2021-01-07,-6,-2,,-15,-23,10,0.8210027764167892,44428
Choctaw County,Alabama,1023,2021-01-07,,,,,0,,0.5630828304991772,12589
Clarke County,Alabama,1025,2021-01-07,-7,-5,,,-18,,0.5479241807996317,23622
Clay County,Alabama,1027,2021-01-07,,,,,-19,,0.7918176328502415,13235
Cleburne County,Alabama,1029,2021-01-07,,,,-9,-14,,0.8742605794023964,14910
Coffee County,Alabama,1031,2021-01-07,-14,-3,,,-24,10,0.7644339577213849,52342
Colbert County,Alabama,1033,2021-01-07,-15,-12,-66,-13,-19,8,0.6721252257676099,55241
Conecuh County,Alabama,1035,2021-01-07,,,,-21,-14,,0.5193621867881549,12067
Coosa County,Alabama,1037,2021-01-07,,,,,-13,,0.6437547600913938,10663
Covington County,Alabama,1039,2021-01-07,-11,-1,,,-16,8,0.8323086574654956,37049
Crenshaw County,Alabama,1041,2021-01-07,,,,,-25,,0.720121270145205,13772
Cullman County,Alabama,1043,2021-01-07,-23,-9,-9,-11,-21,10,0.8710426953238455,83768
Dale County,Alabama,1045,2021-01-07,-22,-6,,1,-23,10,0.7364659448503921,49172
Dallas County,Alabama,1047,2021-01-07,-16,-9,,,-26,9,0.308056619838229,37196
DeKalb County,Alabama,1049,2021-01-07,-8,1,,,-16,9,0.8288159219391311,71513
Elmore County,Alabama,1051,2021-01-07,-19,-3,-24,,-23,11,0.7416532474503489,81209
Escambia County,Alabama,1053,2021-01-07,-15,-2,,,-19,7,0.6692489053553385,36633
Etowah County,Alabama,1055,2021-01-07,-15,-9,,-13,-21,9,0.7325649850557014,102268
Fayette County,Alabama,1057,2021-01-07,,,,,-15,,0.813674384773912,16302
Franklin County,Alabama,1059,2021-01-07,-4,-8,,,-19,10,0.7862126245847176,31362
Geneva County,Alabama,1061,2021-01-07,,,,,-14,8,0.8499744854567103,26271
Greene County,Alabama,1063,2021-01-07,,,,-76,-28,,0.17172131147540984,8111
Hale County,Alabama,1065,2021-01-07,,,,,-23,,0.39465174129353237,14651
Henry County,Alabama,1067,2021-01-07,,,,,-15,,0.6977205153617443,17205
Houston County,Alabama,1069,2021-01-07,-16,-7,-39,-23,-18,9,0.7206547995966134,105882
Jackson County,Alabama,1071,2021-01-07,-8,10,-40,,-16,8,0.79451010293557,51626
Jefferson County,Alabama,1073,2021-01-07,-26,-12,,-37,-33,14,0.4430374337176314,658573
Lamar County,Alabama,1075,2021-01-07,,,,,-19,,0.8359173126614987,13805
Lauderdale County,Alabama,1077,2021-01-07,-11,-1,-36,,-14,10,0.7058570524984187,92729
Lawrence County,Alabama,1079,2021-01-07,-7,-2,,,-17,10,0.730528019421404,32924
Lee County,Alabama,1081,2021-01-07,-22,2,-40,,-23,12,0.5848355324289165,164542
Limestone County,Alabama,1083,2021-01-07,-14,-5,-26,,-22,12,0.7213729091179828,98915
Lowndes County,Alabama,1085,2021-01-07,,,,-10,-18,,0.26196888090963494,9726
Macon County,Alabama,1087,2021-01-07,,,,-10,-27,,0.15656455142231948,18068
Madison County,Alabama,1089,2021-01-07,-24,-8,-46,-30,-34,15,0.5478949011255347,372909
Marengo County,Alabama,1091,2021-01-07,,-4,,,-16,,0.47598690194651627,18863
Marion County,Alabama,1093,2021-01-07,-5,,,,-16,10,0.8682994454713494,29709
Marshall County,Alabama,1095,2021-01-07,-15,-6,-40,,-21,10,0.8277551251557368,96774
Mobile County,Alabama,1097,2021-01-07,-14,-8,-34,-27,-26,10,0.5506405691889983,413210
Monroe County,Alabama,1099,2021-01-07,,,,,-23,,0.564209911401032,20733
Montgomery County,Alabama,1101,2021-01-07,-26,-16,-60,-37,-30,13,0.35464861594943575,226486
