fips,county,state,pop,trumpVoteshare,wk0,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk48,wk49,wk50,wk51,wk52,wk53,wk54,wk55,wk56,wk57,wk58,wk59,wk60,wk61,wk62
24033,Prince George's County,Maryland,909327,0.084047799,1,3,3,2,-37,-51,-54,-56,-55,-54,-54,-55,-52,-51,-49,-47,-46,-46,-44,-44,-44,-44,-45,-45,-44,-45,-44,-42,-43,-44,-41,-41,-41,-40,-39,-39,-39,-41,-999,-41,-44,-41,-41,-48,-43,-46,-45,-43,-54,-42,-42,-41,-40,-39,-40,-40,-39,-42,-42,-40,-41,-40,-39
6075,San Francisco County,California,881549,0.092875168,0,0,-2,-26,-73,-76,-77,-78,-77,-76,-76,-74,-73,-71,-69,-69,-67,-66,-66,-66,-66,-66,-66,-67,-67,-67,-68,-67,-67,-69,-65,-65,-65,-65,-64,-64,-64,-65,-999,-65,-66,-65,-67,-67,-67,-69,-69,-68,-68,-69,-66,-66,-66,-65,-65,-66,-64,-64,-65,-65,-64,-63,-63
36005,Bronx County,New York,1418207,0.094605554,-9,2,2,0,-32,-56,-62,-64,-62,-60,-58,-56,-52,-51,-48,-48,-44,-44,-43,-42,-42,-41,-41,-42,-41,-42,-42,-40,-41,-39,-37,-36,-37,-36,-35,-34,-35,-35,-999,-36,-38,-37,-37,-41,-38,-43,-39,-40,-42,-40,-42,-40,-42,-39,-40,-39,-39,-40,-43,-39,-37,-39,-37
36061,New York County,New York,1628706,0.097062662,-4,3,2,-12,-58,-75,-77,-79,-77,-76,-76,-75,-73,-71,-69,-69,-66,-65,-64,-64,-64,-63,-64,-64,-63,-64,-64,-62,-63,-61,-59,-58,-58,-57,-56,-56,-56,-57,-999,-56,-58,-57,-57,-61,-58,-62,-59,-59,-61,-59,-60,-59,-60,-58,-58,-58,-57,-59,-61,-57,-56,-57,-54
51730,Petersburg,Virginia,31346,0.105251705,0,0,1,-1,-18,-30,-37,-37,-34,-34,-34,-33,-32,-31,-30,-27,-27,-26,-25,-27,-28,-27,-28,-29,-31,-31,-29,-28,-29,-30,-27,-26,-27,-24,-23,-24,-20,-23,-999,-23,-30,-24,-23,-27,-34,-37,-27,-25,-28,-27,-26,-27,-25,-24,-23,-23,-24,-25,-24,-26,-24,-24,-22
24510,Baltimore,Maryland,593490,0.105283164,2,3,2,0,-34,-50,-53,-54,-53,-53,-51,-52,-48,-48,-45,-44,-43,-43,-42,-42,-42,-42,-43,-43,-43,-44,-43,-42,-42,-43,-40,-39,-39,-39,-37,-37,-37,-38,-999,-39,-42,-40,-39,-48,-41,-45,-41,-41,-43,-40,-40,-39,-38,-37,-37,-37,-38,-40,-40,-37,-39,-38,-36
28021,Claiborne County,Mississippi,8988,0.126404494,10,18,14,2,-4,-8,-14,-24,-27,-22,-32,-32,-31,-27,-25,-28,-27,-35,-32,-39,-38,-36,-40,-37,-40,-33,-999,-999,-999,-999,-29,-26,-30,-23,-22,-17,-26,-25,-999,-23,-42,-27,-23,-24,-41,-39,-27,-25,-24,-29,-22,-32,-999,-29,-19,-21,-33,-25,-22,-18,-18,-19,-16
28063,Jefferson County,Mississippi,6990,0.126943005,-999,-999,-999,-999,-999,-999,-999,-32,-999,-30,-999,-999,-999,-999,-999,-999,-999,-31,-999,-35,-34,-35,-31,-38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-34,-999,-999,-999,-49,-45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-30,-999,-999,-999,-999,-999,-999
51540,Charlottesville,Virginia,47266,0.131719473,0,-1,1,-16,-50,-63,-64,-66,-64,-64,-62,-62,-62,-61,-58,-56,-55,-57,-55,-53,-55,-54,-55,-56,-55,-55,-55,-54,-55,-55,-53,-51,-53,-52,-50,-48,-46,-48,-999,-46,-54,-47,-46,-65,-52,-55,-50,-50,-52,-50,-49,-48,-45,-46,-47,-46,-43,-43,-44,-48,-44,-43,-42
13063,Clayton County,Georgia,292256,0.1361742,-1,2,-1,0,-26,-37,-43,-47,-43,-44,-43,-40,-38,-38,-37,-35,-35,-35,-35,-36,-37,-37,-38,-38,-38,-38,-37,-35,-35,-35,-35,-33,-33,-31,-31,-30,-31,-31,-999,-30,-38,-30,-30,-32,-36,-39,-33,-33,-35,-34,-32,-32,-33,-31,-32,-32,-33,-32,-33,-37,-33,-33,-33
