geoid,name,B19083001,"B19083001, Error"
05000US01001,"Autauga County, AL",0.4542,0.0392
05000US01003,"Baldwin County, AL",0.4587,0.01
05000US01005,"Barbour County, AL",0.4883,0.0153
05000US01007,"Bibb County, AL",0.4487,0.0409
05000US01009,"Blount County, AL",0.457,0.0231
05000US01011,"Bullock County, AL",0.4731,0.0518
05000US01013,"Butler County, AL",0.4619,0.0263
05000US01015,"Calhoun County, AL",0.4633,0.016
05000US01017,"Chambers County, AL",0.423,0.0171
05000US01019,"Cherokee County, AL",0.4515,0.0217
05000US01021,"Chilton County, AL",0.4719,0.0339
05000US01023,"Choctaw County, AL",0.469,0.0201
05000US01025,"Clarke County, AL",0.5158,0.022
05000US01027,"Clay County, AL",0.4615,0.0391
05000US01029,"Cleburne County, AL",0.457,0.0263
05000US01031,"Coffee County, AL",0.4327,0.013
05000US01033,"Colbert County, AL",0.4467,0.0159
05000US01035,"Conecuh County, AL",0.4296,0.0337
05000US01037,"Coosa County, AL",0.4515,0.0463
05000US01039,"Covington County, AL",0.4598,0.0166
05000US01041,"Crenshaw County, AL",0.4921,0.0438
05000US01043,"Cullman County, AL",0.4416,0.0146
05000US01045,"Dale County, AL",0.4479,0.013
05000US01047,"Dallas County, AL",0.4691,0.0149
05000US01049,"DeKalb County, AL",0.4723,0.0193
05000US01051,"Elmore County, AL",0.4413,0.0185
05000US01053,"Escambia County, AL",0.4818,0.0207
05000US01055,"Etowah County, AL",0.4594,0.0156
05000US01057,"Fayette County, AL",0.461,0.0349
05000US01059,"Franklin County, AL",0.4276,0.0212
05000US01061,"Geneva County, AL",0.44,0.0175
05000US01063,"Greene County, AL",0.5115,0.0405
05000US01065,"Hale County, AL",0.4994,0.0313
05000US01067,"Henry County, AL",0.4407,0.0263
05000US01069,"Houston County, AL",0.4832,0.0054
05000US01071,"Jackson County, AL",0.4516,0.0159
05000US01073,"Jefferson County, AL",0.5009,0.0051
05000US01075,"Lamar County, AL",0.472,0.0534
05000US01077,"Lauderdale County, AL",0.4601,0.0153
05000US01079,"Lawrence County, AL",0.4409,0.0156
05000US01081,"Lee County, AL",0.5026,0.0139
05000US01083,"Limestone County, AL",0.4454,0.0134
05000US01085,"Lowndes County, AL",0.5064,0.0262
05000US01087,"Macon County, AL",0.5095,0.0229
05000US01089,"Madison County, AL",0.462,0.007
05000US01091,"Marengo County, AL",0.5495,0.0674
05000US01093,"Marion County, AL",0.4587,0.0192
05000US01095,"Marshall County, AL",0.4707,0.0137
05000US01097,"Mobile County, AL",0.476,0.0071
05000US01099,"Monroe County, AL",0.5495,0.0308
05000US01101,"Montgomery County, AL",0.4928,0.0102
05000US01103,"Morgan County, AL",0.4526,0.0118
05000US01105,"Perry County, AL",0.4938,0.0387
05000US01107,"Pickens County, AL",0.4907,0.0249
05000US01109,"Pike County, AL",0.5367,0.0285
05000US01111,"Randolph County, AL",0.4815,0.0354
05000US01113,"Russell County, AL",0.4661,0.0162
05000US01115,"St. Clair County, AL",0.4065,0.0173
05000US01117,"Shelby County, AL",0.4392,0.0114
05000US01119,"Sumter County, AL",0.5289,0.0367
05000US01121,"Talladega County, AL",0.467,0.0153
05000US01123,"Tallapoosa County, AL",0.4689,0.0149
05000US01125,"Tuscaloosa County, AL",0.4677,0.0111
05000US01127,"Walker County, AL",0.4522,0.0132
05000US01129,"Washington County, AL",0.4989,0.0504
05000US01131,"Wilcox County, AL",0.4887,0.0244
05000US01133,"Winston County, AL",0.4752,0.0289
05000US02013,"Aleutians East Borough, AK",0.4068,0.0171
05000US02016,"Aleutians West Census Area, AK",0.3514,0.0134
05000US02020,"Anchorage Municipality, AK",0.4298,0.0104
05000US02050,"Bethel Census Area, AK",0.4502,0.0164
05000US02060,"Bristol Bay Borough, AK",0.3916,0.0347
05000US02068,"Denali Borough, AK",0.3486,0.0353
05000US02070,"Dillingham Census Area, AK",0.4271,0.0246
05000US02090,"Fairbanks North Star Borough, AK",0.4094,0.0137
05000US02100,"Haines Borough, AK",0.3985,0.0495
05000US02105,"Hoonah-Angoon Census Area, AK",0.4306,0.0407
05000US02110,"Juneau City and Borough, AK",0.3985,0.0357
05000US02122,"Kenai Peninsula Borough, AK",0.4393,0.0163
05000US02130,"Ketchikan Gateway Borough, AK",0.4332,0.019
05000US02150,"Kodiak Island Borough, AK",0.372,0.0383
05000US02158,"Kusilvak Census Area, AK",0.4285,0.0197
05000US02164,"Lake and Peninsula Borough, AK",0.4259,0.0222
05000US02170,"Matanuska-Susitna Borough, AK",0.422,0.0079
05000US02180,"Nome Census Area, AK",0.4301,0.0148
05000US02185,"North Slope Borough, AK",0.4094,0.0216
05000US02188,"Northwest Arctic Borough, AK",0.4469,0.0181
05000US02195,"Petersburg Borough, AK",0.4274,0.0233
05000US02198,"Prince of Wales-Hyder Census Area, AK",0.4326,0.0194
05000US02220,"Sitka City and Borough, AK",0.4185,0.0249
05000US02230,"Skagway Municipality, AK",0.3023,0.0219
05000US02240,"Southeast Fairbanks Census Area, AK",0.4058,0.027
05000US02261,"Valdez-Cordova Census Area, AK",0.413,0.0351
05000US02275,"Wrangell City and Borough, AK",0.4208,0.0285
05000US02282,"Yakutat City and Borough, AK",0.3385,0.0302
05000US02290,"Yukon-Koyukuk Census Area, AK",0.4671,0.0202
05000US04001,"Apache County, AZ",0.5013,0.012
05000US04003,"Cochise County, AZ",0.4427,0.0113
05000US04005,"Coconino County, AZ",0.4667,0.013
05000US04007,"Gila County, AZ",0.4427,0.018
05000US04009,"Graham County, AZ",0.4196,0.0146
05000US04011,"Greenlee County, AZ",0.3805,0.0447
05000US04012,"La Paz County, AZ",0.4879,0.0374
05000US04013,"Maricopa County, AZ",0.4641,0.0022
05000US04015,"Mohave County, AZ",0.4456,0.0103
05000US04017,"Navajo County, AZ",0.4739,0.0119
05000US04019,"Pima County, AZ",0.4694,0.0039
05000US04021,"Pinal County, AZ",0.4204,0.0097
05000US04023,"Santa Cruz County, AZ",0.4997,0.0295
05000US04025,"Yavapai County, AZ",0.4435,0.0107
05000US04027,"Yuma County, AZ",0.4429,0.0108
