fips,county,state,pop,trumpVoteshare,wk0,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk48,wk49,wk50,wk51,wk52,wk53,wk54,wk55,wk56,wk57,wk58,wk59,wk60,wk61,wk62
1001,Autauga County,Alabama,55869,0.7276658791494814,2.0,4.0,3.0,4.0,-23.0,-37.0,-39.0,-43.0,-41.0,-40.0,-38.0,-33.0,-29.0,-30.0,-27.0,-27.0,-27.0,-27.0,-28.0,-32.0,-29.0,-30.0,-27.0,-30.0,-28.0,-29.0,-28.0,-25.0,-26.0,-25.0,-32.0,-21.0,-19.0,-21.0,-20.0,-20.0,-17.0,-20.0,-999,-18.0,-37.0,-18.0,-20.0,-23.0,-37.0,-39.0,-21.0,-26.0,-26.0,-21.0,-19.0,-19.0,-17.0,-18.0,-17.0,-18.0,-25.0,-19.0,-27.0,-17.0,-16.0,-17.0,-17.0
1003,Baldwin County,Alabama,223234,0.765457123352413,3.0,2.0,3.0,6.0,-15.0,-30.0,-34.0,-38.0,-37.0,-35.0,-38.0,-31.0,-26.0,-25.0,-23.0,-23.0,-22.0,-21.0,-23.0,-26.0,-26.0,-27.0,-25.0,-27.0,-26.0,-26.0,-23.0,-24.0,-24.0,-25.0,-88.0,-33.0,-24.0,-23.0,-22.0,-21.0,-29.0,-19.0,-999,-20.0,-35.0,-20.0,-20.0,-20.0,-33.0,-36.0,-24.0,-21.0,-19.0,-20.0,-19.0,-19.0,-21.0,-12.0,-12.0,-10.0,-11.0,-11.0,-11.0,-22.0,-10.0,-9.0,-8.0
1005,Barbour County,Alabama,24686,0.5209666634826631,0.0,4.0,-9.0,3.0,-6.0,-21.0,-25.0,-30.0,-24.0,-21.0,-25.0,-21.0,-18.0,-19.0,-19.0,-16.0,-17.0,-18.0,-21.0,-23.0,-22.0,-22.0,-19.0,-21.0,-21.0,-21.0,-999,-999,-999,-999,-39.0,-19.0,-18.0,-17.0,-20.0,-21.0,-17.0,-17.0,-999,-17.0,-32.0,-14.0,-13.0,-20.0,-28.0,-31.0,-17.0,-19.0,-20.0,-21.0,-16.0,-16.0,-17.0,-15.0,-14.0,-15.0,-19.0,-16.0,-23.0,-15.0,-12.0,-17.0,-14.0
1007,Bibb County,Alabama,22394,0.7640322031976414,0.0,6.0,-1.0,2.0,-12.0,-31.0,-31.0,-36.0,-33.0,-31.0,-32.0,-28.0,-24.0,-21.0,-24.0,-21.0,-22.0,-21.0,-24.0,-24.0,-25.0,-25.0,-26.0,-27.0,-28.0,-25.0,-999,-999,-999,-999,-21.0,-16.0,-18.0,-21.0,-15.0,-11.0,-15.0,-17.0,-999,-13.0,-31.0,-18.0,-20.0,-20.0,-28.0,-32.0,-19.0,-18.0,-18.0,-16.0,-15.0,-16.0,-18.0,-14.0,-13.0,-14.0,-26.0,-28.0,-16.0,-18.0,-17.0,-17.0,-12.0
1009,Blount County,Alabama,57826,0.8933484445833985,1.0,0.0,1.0,2.0,-21.0,-34.0,-37.0,-40.0,-36.0,-35.0,-34.0,-32.0,-29.0,-28.0,-29.0,-27.0,-28.0,-26.0,-28.0,-33.0,-31.0,-31.0,-31.0,-31.0,-31.0,-30.0,-27.0,-25.0,-25.0,-27.0,-26.0,-23.0,-23.0,-21.0,-22.0,-21.0,-25.0,-22.0,-999,-26.0,-39.0,-23.0,-23.0,-26.0,-37.0,-39.0,-27.0,-22.0,-20.0,-20.0,-21.0,-19.0,-20.0,-18.0,-18.0,-18.0,-37.0,-29.0,-20.0,-17.0,-17.0,-18.0,-18.0
1011,Bullock County,Alabama,10101,0.24203821656050956,-1.0,-1.0,-12.0,-3.0,-21.0,-25.0,-24.0,-34.0,-28.0,-33.0,-33.0,-25.0,-25.0,-21.0,-30.0,-27.0,-31.0,-28.0,-27.0,-29.0,-28.0,-26.0,-28.0,-29.0,-23.0,-22.0,-999,-999,-999,-999,-38.0,-16.0,-16.0,-18.0,-16.0,-17.0,-17.0,-13.0,-999,-10.0,-31.0,-17.0,-16.0,-10.0,-26.0,-32.0,-19.0,-23.0,-19.0,-20.0,-25.0,-19.0,-22.0,-20.0,-22.0,-16.0,-19.0,-22.0,-15.0,-17.0,-15.0,-14.0,-12.0
1013,Butler County,Alabama,19448,0.5612688960146587,-1.0,0.0,-3.0,-1.0,-6.0,-27.0,-35.0,-40.0,-40.0,-37.0,-36.0,-26.0,-28.0,-25.0,-28.0,-25.0,-23.0,-29.0,-27.0,-30.0,-27.0,-25.0,-23.0,-27.0,-25.0,-25.0,-999,-999,-999,-999,-51.0,-13.0,-13.0,-15.0,-14.0,-19.0,-16.0,-9.0,-999,-13.0,-29.0,-15.0,-16.0,-19.0,-28.0,-37.0,-18.0,-17.0,-19.0,-15.0,-16.0,-16.0,-17.0,-13.0,-16.0,-17.0,-20.0,-20.0,-17.0,-15.0,-15.0,-14.0,-10.0
1015,Calhoun County,Alabama,113605,0.6866329600534848,2.0,1.0,-1.0,0.0,-16.0,-33.0,-37.0,-44.0,-40.0,-41.0,-40.0,-35.0,-28.0,-25.0,-25.0,-23.0,-24.0,-23.0,-24.0,-33.0,-26.0,-26.0,-25.0,-26.0,-25.0,-25.0,-24.0,-23.0,-23.0,-26.0,-25.0,-22.0,-22.0,-22.0,-24.0,-20.0,-21.0,-20.0,-999,-19.0,-35.0,-20.0,-20.0,-24.0,-35.0,-41.0,-22.0,-21.0,-20.0,-20.0,-20.0,-20.0,-20.0,-18.0,-17.0,-18.0,-24.0,-25.0,-21.0,-17.0,-18.0,-18.0,-17.0
1017,Chambers County,Alabama,33254,0.5642446043165468,3.0,3.0,1.0,-2.0,-17.0,-26.0,-47.0,-53.0,-50.0,-46.0,-46.0,-36.0,-33.0,-29.0,-37.0,-30.0,-27.0,-26.0,-30.0,-39.0,-29.0,-26.0,-27.0,-28.0,-26.0,-25.0,-24.0,-20.0,-21.0,-20.0,-21.0,-23.0,-18.0,-15.0,-999,-18.0,-33.0,-18.0,-16.0,-20.0,-35.0,-42.0,-23.0,-23.0,-23.0,-23.0,-21.0,-17.0,-19.0,-18.0,-17.0,-20.0,-18.0,-19.0,-24.0,-19.0,-19.0,-20.0,-20.0
1019,Cherokee County,Alabama,26196,0.8341563402590143,1.0,-2.0,-2.0,-2.0,-18.0,-33.0,-34.0,-35.0,-32.0,-32.0,-30.0,-27.0,-23.0,-19.0,-24.0,-17.0,-19.0,-18.0,-22.0,-28.0,-27.0,-27.0,-23.0,-22.0,-22.0,-22.0,-999,-999,-999,-999,-17.0,-17.0,-16.0,-15.0,-15.0,-16.0,-14.0,-13.0,-999,-14.0,-29.0,-13.0,-11.0,-16.0,-31.0,-30.0,-13.0,-11.0,-14.0,-15.0,-13.0,-12.0,-16.0,-14.0,-11.0,-14.0,-19.0,-11.0,-26.0,-14.0,-12.0,-16.0,-12.0
1021,Chilton County,Alabama,44428,0.8210027764167892,4.0,5.0,2.0,4.0,-20.0,-33.0,-34.0,-40.0,-36.0,-35.0,-36.0,-33.0,-29.0,-28.0,-27.0,-25.0,-25.0,-24.0,-26.0,-30.0,-28.0,-27.0,-27.0,-30.0,-27.0,-27.0,-26.0,-25.0,-25.0,-23.0,-26.0,-21.0,-21.0,-18.0,-17.0,-19.0,-22.0,-20.0,-999,-18.0,-34.0,-17.0,-23.0,-19.0,-34.0,-39.0,-23.0,-19.0,-19.0,-23.0,-17.0,-17.0,-17.0,-16.0,-20.0,-15.0,-26.0,-26.0,-17.0,-21.0,-14.0,-16.0,-16.0
1023,Choctaw County,Alabama,12589,0.5630828304991772,2.0,6.0,0.0,2.0,-9.0,-23.0,-26.0,-28.0,-35.0,-30.0,-23.0,-19.0,-21.0,-23.0,-21.0,-18.0,-14.0,-23.0,-21.0,-24.0,-21.0,-21.0,-25.0,-26.0,-26.0,-21.0,-999,-999,-999,-999,-35.0,-19.0,-17.0,-14.0,-13.0,-13.0,-10.0,-14.0,-999,-8.0,-37.0,-8.0,-8.0,-12.0,-27.0,-25.0,-5.0,0.0,-7.0,-10.0,-4.0,-4.0,-11.0,1.0,3.0,-1.0,-15.0,-16.0,-5.0,-5.0,-4.0,-6.0,-10.0
1025,Clarke County,Alabama,23622,0.5479241807996317,2.0,1.0,-1.0,-3.0,-15.0,-26.0,-29.0,-32.0,-26.0,-27.0,-27.0,-23.0,-20.0,-22.0,-20.0,-20.0,-17.0,-21.0,-24.0,-24.0,-24.0,-24.0,-24.0,-27.0,-23.0,-20.0,-999,-999,-999,-999,-63.0,-18.0,-17.0,-20.0,-16.0,-18.0,-18.0,-23.0,-999,-19.0,-36.0,-19.0,-20.0,-19.0,-28.0,-32.0,-17.0,-16.0,-18.0,-22.0,-16.0,-16.0,-15.0,-15.0,-11.0,-17.0,-17.0,-23.0,-17.0,-15.0,-13.0,-17.0,-12.0
1027,Clay County,Alabama,13235,0.7918176328502415,0.0,4.0,8.0,6.0,-9.0,-19.0,-22.0,-32.0,-24.0,-21.0,-25.0,-19.0,-14.0,-12.0,-10.0,-17.0,-13.0,-13.0,-15.0,-22.0,-21.0,-17.0,-13.0,-25.0,-16.0,-20.0,-999,-999,-999,-999,-14.0,-16.0,-16.0,-16.0,-17.0,-19.0,-19.0,-15.0,-999,-16.0,-27.0,-12.0,-15.0,-16.0,-31.0,-32.0,-16.0,-14.0,-17.0,-19.0,-17.0,-20.0,-17.0,-12.0,-19.0,-13.0,-24.0,-20.0,-19.0,-16.0,-12.0,-10.0,-12.0
1029,Cleburne County,Alabama,14910,0.8742605794023964,6.0,6.0,2.0,4.0,-11.0,-22.0,-29.0,-36.0,-30.0,-24.0,-26.0,-19.0,-18.0,-20.0,-19.0,-14.0,-18.0,-17.0,-18.0,-25.0,-21.0,-21.0,-21.0,-21.0,-16.0,-16.0,-999,-999,-999,-999,-21.0,-16.0,-12.0,-22.0,-13.0,-19.0,-14.0,-6.0,-999,-8.0,-24.0,-5.0,-7.0,-9.0,-25.0,-31.0,-15.0,-7.0,-7.0,-9.0,-8.0,-7.0,-7.0,-4.0,-2.0,-3.0,-11.0,-4.0,-10.0,-16.0,-6.0,-7.0,-7.0
